measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241209214849.704909_UY_webconnectivity_27ee416b35dc1d0d,None,connection_refused,False,dns,AS6057,200
20241209214847.793036_UY_webconnectivity_f27e6fe34ea7d717,None,connection_refused,False,dns,AS6057,200
20241209214846.823272_UY_webconnectivity_4c9e1db29bb277d5,None,connection_refused,False,dns,AS6057,-1
20241209214845.988757_UY_webconnectivity_e17cb359d789438d,None,connection_refused,False,dns,AS6057,200
20241209214844.590006_UY_webconnectivity_4a67562a9614e59b,None,connection_refused,False,dns,AS6057,200
20241209214843.715450_UY_webconnectivity_242a6cdbfa393030,None,connection_refused,False,dns,AS6057,200
20241209214841.896954_UY_webconnectivity_7c7500cc145f0361,None,connection_refused,False,dns,AS6057,200
20241209214840.774817_UY_webconnectivity_7d07bd85d237ca73,None,connection_refused,False,dns,AS6057,200
20241209214839.804816_UY_webconnectivity_2415b7bb4c800de5,None,connection_refused,False,dns,AS6057,200
20241209214838.834110_UY_webconnectivity_2acf9546ae236ae2,None,connection_refused,False,dns,AS6057,200
20241209214838.138999_UY_webconnectivity_730817531bcf307f,None,connection_refused,False,dns,AS6057,-1
20241209214837.568325_UY_webconnectivity_2a06725ef9c5f78c,None,connection_refused,False,dns,AS6057,403
20241209214836.991991_UY_webconnectivity_ac4d33c81eb83d0f,None,connection_refused,False,dns,AS6057,200
20241209214834.025524_UY_webconnectivity_7a0be25ba3c31eff,None,connection_refused,False,dns,AS6057,-1
20241209214833.387550_UY_webconnectivity_42c30eaefc182e0e,None,connection_refused,False,dns,AS6057,-1
20241209214832.759467_UY_webconnectivity_ca95b4652d1f4766,None,connection_refused,False,dns,AS6057,200
20241209214831.554069_UY_webconnectivity_06536cafd7168ed4,None,connection_refused,False,dns,AS6057,-1
20241209214830.837354_UY_webconnectivity_b68196d81275106c,None,connection_refused,False,dns,AS6057,403
20241209214830.233319_UY_webconnectivity_51bd3baa6b906d62,None,connection_refused,False,dns,AS6057,503
20241209214829.631301_UY_webconnectivity_ba49151fee247e2b,None,connection_refused,False,dns,AS6057,200
20241209214822.914409_UY_webconnectivity_c1d94021d7a7b790,None,connection_refused,False,dns,AS6057,200
20241209214822.295485_UY_webconnectivity_5702a2fc1ae2b1a6,None,connection_refused,False,dns,AS6057,406
20241209214821.567238_UY_webconnectivity_ff03fc17f11eb06a,None,connection_refused,False,dns,AS6057,406
20241209214820.951041_UY_webconnectivity_ce98ca28500b0614,None,connection_refused,False,dns,AS6057,403
20241209214820.347319_UY_webconnectivity_9cb5d9171ca82fe2,None,connection_refused,False,dns,AS6057,200
20241209214814.518974_UY_webconnectivity_487c8b2c2fed7967,None,connection_refused,False,dns,AS6057,200
20241209214813.559809_UY_webconnectivity_d8f220b23c172078,None,connection_refused,False,dns,AS6057,200
20241209214811.990102_UY_webconnectivity_74012d9117aae7b5,None,connection_refused,False,dns,AS6057,-1
20241209214810.682626_UY_webconnectivity_ad4a63fec8e2939a,None,connection_refused,False,dns,AS6057,403
20241209214811.330488_UY_webconnectivity_5d2755961424fe5e,None,connection_refused,False,dns,AS6057,-1
20241209214810.075367_UY_webconnectivity_3c869f0b191c7a99,None,connection_refused,False,dns,AS6057,-1
20241209214809.456586_UY_webconnectivity_ed0c640090eeb837,None,connection_refused,False,dns,AS6057,200
20241209214804.624017_UY_webconnectivity_01a44bf9258164c0,None,connection_refused,False,dns,AS6057,403
20241209214807.535371_UY_webconnectivity_bac1a0b853ec786c,None,connection_refused,False,dns,AS6057,200
20241209214804.019726_UY_webconnectivity_835d5505f8588dc5,None,connection_refused,False,dns,AS6057,403
20241209214803.331870_UY_webconnectivity_15c976baa2268cc4,None,connection_refused,False,dns,AS6057,200
20241209214802.345810_UY_webconnectivity_c159bba1fee27ed7,None,connection_refused,False,dns,AS6057,403
20241209214801.446142_UY_webconnectivity_0653b8200d167750,None,connection_refused,False,dns,AS6057,403
20241209214800.835757_UY_webconnectivity_4fcf1aa92986c027,None,connection_refused,False,dns,AS6057,521
20241209214800.210318_UY_webconnectivity_2280b36a7f6d575a,None,connection_refused,False,dns,AS6057,200
20241209214759.475908_UY_webconnectivity_c0545294c5d88288,None,connection_refused,False,dns,AS6057,200
20241209214757.900090_UY_webconnectivity_3e55576e58e99d1c,None,connection_refused,False,dns,AS6057,-1
20241209214757.212967_UY_webconnectivity_9f5156953b97590c,None,connection_refused,False,dns,AS6057,-1
20241209214755.942846_UY_webconnectivity_0cd115ba87425b61,None,connection_refused,False,dns,AS6057,200
20241209214755.085281_UY_webconnectivity_53a0a685e64fa3b2,None,connection_refused,False,dns,AS6057,200
20241209214754.361305_UY_webconnectivity_886a4f2198ee3cf6,None,connection_refused,False,dns,AS6057,200
20241209214753.458975_UY_webconnectivity_8b98c964cd48b755,None,connection_refused,False,dns,AS6057,403
20241209214752.815854_UY_webconnectivity_88784e774b919ccd,None,connection_refused,False,dns,AS6057,200
20241209214751.802898_UY_webconnectivity_4fd6537a5f19fdbd,None,connection_refused,False,dns,AS6057,200
20241209214750.881946_UY_webconnectivity_58a35eb834967dd3,None,connection_refused,False,dns,AS6057,200
20241209214750.198739_UY_webconnectivity_af91762de53e6fbb,None,connection_refused,False,dns,AS6057,403
20241209214749.209176_UY_webconnectivity_f2803da349646557,None,connection_refused,False,dns,AS6057,403
20241209214748.268926_UY_webconnectivity_1955a77c36122be5,None,connection_refused,False,dns,AS6057,403
20241209214747.310392_UY_webconnectivity_b2aadbe3e7d34702,None,connection_refused,False,dns,AS6057,200
20241209214745.074058_UY_webconnectivity_ff76d5cb0755baf5,None,connection_refused,False,dns,AS6057,200
20241209214743.653803_UY_webconnectivity_09fe00a2e8499c07,None,connection_refused,False,dns,AS6057,200
20241209214742.829750_UY_webconnectivity_b15114f26d11fd09,None,connection_refused,False,dns,AS6057,200
20241209214741.955068_UY_webconnectivity_3af35f06b0bf081c,None,connection_refused,False,dns,AS6057,200
20241209214740.254545_UY_webconnectivity_a3af46d97df8421b,None,connection_refused,False,dns,AS6057,200
20241209214738.359647_UY_webconnectivity_584d31c373ee46cd,None,connection_refused,False,dns,AS6057,200
20241209214737.147369_UY_webconnectivity_401f32e5e69568ae,None,connection_refused,False,dns,AS6057,403
20241209214735.468523_UY_webconnectivity_607b0ee6ac16b849,None,connection_refused,False,dns,AS6057,404
20241209214734.064637_UY_webconnectivity_cc2590dbf8436e51,None,connection_refused,False,dns,AS6057,404
20241209214733.253719_UY_webconnectivity_c2a683f6c9945be6,None,connection_refused,False,dns,AS6057,403
20241209214732.608579_UY_webconnectivity_1b1ee431a558f24a,None,connection_refused,False,dns,AS6057,403
20241209214731.974240_UY_webconnectivity_d16da4d7a8b78077,None,connection_refused,False,dns,AS6057,200
20241209214728.816494_UY_webconnectivity_7cd55cb16e4a953d,None,connection_refused,False,dns,AS6057,-1
20241209214727.812870_UY_webconnectivity_3645511e1311c3f6,None,connection_refused,False,dns,AS6057,-1
20241209214726.842540_UY_webconnectivity_cfb93a4287ce9818,None,connection_refused,False,dns,AS6057,200
20241209214725.260663_UY_webconnectivity_336d62cdae0c7af4,None,connection_refused,False,dns,AS6057,403
20241209214724.585733_UY_webconnectivity_9df656fb36d44027,None,connection_refused,False,dns,AS6057,403
20241209214724.005938_UY_webconnectivity_ae9ee39eeb6f650f,None,connection_refused,False,dns,AS6057,403
20241209214723.404174_UY_webconnectivity_b5d1f664277fe85b,None,connection_refused,False,dns,AS6057,200
20241209214722.752178_UY_webconnectivity_74a91e51fafd02c1,None,connection_refused,False,dns,AS6057,403
20241209214722.026267_UY_webconnectivity_cf5872d1d4d2372d,None,connection_refused,False,dns,AS6057,-1
20241209214721.059089_UY_webconnectivity_736f15a3e335a0cd,None,connection_refused,False,dns,AS6057,-1
20241209214720.220470_UY_webconnectivity_04edbfbdb7078778,None,connection_refused,False,dns,AS6057,200
20241209214718.988856_UY_webconnectivity_73b90647de251326,None,connection_refused,False,dns,AS6057,-1
20241209214703.433799_UY_webconnectivity_71407f23015a1ab2,None,connection_refused,False,dns,AS6057,-1
20241209214647.785153_UY_webconnectivity_8b92b6ceaced2e1e,None,connection_refused,False,dns,AS6057,-1
20241209214646.827228_UY_webconnectivity_f88a0a9c1c8fd324,None,connection_refused,False,dns,AS6057,200
20241209214645.861790_UY_webconnectivity_ff429a4b74cb16c7,None,connection_refused,False,dns,AS6057,200
20241209214644.699442_UY_webconnectivity_29ac69c3b555cd8b,None,connection_refused,False,dns,AS6057,200
20241209214643.951649_UY_webconnectivity_6949247c8edaa111,None,connection_refused,False,dns,AS6057,200
20241209214643.020078_UY_webconnectivity_409e1e69cb19b6b2,None,connection_refused,False,dns,AS6057,200
20241209214642.073243_UY_webconnectivity_2f13a840a4d32af3,None,connection_refused,False,dns,AS6057,403
20241209214641.381896_UY_webconnectivity_557695a6fc2e8d0a,None,connection_refused,False,dns,AS6057,200
20241209214640.104320_UY_webconnectivity_ec5637b01688fe96,None,connection_refused,False,dns,AS6057,200
20241209214638.410332_UY_webconnectivity_1e01023eafd7cc61,None,connection_refused,False,dns,AS6057,200
