Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Directv del Uruguay Ltda;https://pelotalibre.org/;30;Resolución N° 274/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://pelotalibretvhd.pe/;30;Resolución N° 274/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://pelotalibretv.pe/;30;Resolución N° 274/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://www.telerium.biz/;30;Resolución N° 274/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://viper-play.net;30;Resolución N° 274/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://tiofutbol.com/;10;Resolución N° 275/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://golazohd.com;10;Resolución N° 275/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://www.futbolhoy.live/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.rojadirectatvhd.com/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.rojadiretatv.com/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://rojadirectatv.ws/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://deporte-libre.org/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://televisiongratishd.com/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.futbollibre.run/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.futbollibretv.futbol/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;http://rojadirectaenvivo.de/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://futbollibre.app/;30;Resolución 311/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.pirlotv.uno/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.rojadiretatv.lol/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://rojadirectaenvivo.me/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://rojadirectatv.nl/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.rojadirecta2.org/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.tarjetarojatvenvivo.net/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://www.telextrema.com/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://rojadirectatv.uno/;30;Resolución 312/024 de 30 de julio de 2024
Directv del Uruguay Ltda;https://dramaticreadings.com/;10;Resolución 364/024 de 8 de agosto de 2024
Directv del Uruguay Ltda;https://rojadirectaenvivo.me/;10;Resolución 364/024 de 8 de agosto de 2024
Directv del Uruguay Ltda;https://hocast4.com/;10;Resolución 364/024 de 8 de agosto de 2024
Directv del Uruguay Ltda;https://telegratis.live/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.pirlotv.fr/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.tarjetarojaenvivo.nl/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://tarjetarojatv.fr/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.rojadirectatvhd.org/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://rojadirectaenvivo.cc/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.rojadirectenvivo.me/;30;Resolución 414/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://deportelibre.futbol/;30;Resolución 415/024 de 22 de agosto de 2024
